index,preset_slot,source_file,start_sec,end_sec,duration_sec,gap_after_sec
1,1,preset_01_query_01_20260814_114957_seg_0017.wav,0.15,2.06,1.91,0.18
2,2,preset_02_query_01_20260816_105942_seg_0092.wav,2.24,4.7,2.46,0.22
3,3,preset_03_query_01_20260816_105942_seg_0051.wav,4.92,7.54,2.62,0.2
4,4,preset_04_query_01_20260816_105942_seg_0071.wav,7.74,8.73,0.99,0.25
5,5,preset_05_query_01_20260811_132101_seg_0018.wav,8.98,11.01,2.03,0.17
6,1,preset_01_query_01_20260814_114957_seg_0017.wav,11.18,13.09,1.91,0.24
7,2,preset_02_query_01_20260816_105942_seg_0092.wav,13.33,15.79,2.46,0.19
8,3,preset_03_query_01_20260816_105942_seg_0051.wav,15.98,18.6,2.62,0.21
9,4,preset_04_query_01_20260816_105942_seg_0071.wav,18.81,19.8,0.99,0.26
10,5,preset_05_query_01_20260811_132101_seg_0018.wav,20.06,22.09,2.03,0.18
11,1,preset_01_query_01_20260814_114957_seg_0017.wav,22.27,24.18,1.91,0.23
12,2,preset_02_query_01_20260816_105942_seg_0092.wav,24.41,26.87,2.46,
